"1","1","pass","Stud1","Stud1","Stud1","Stud1@yahoo.com","24","1","1","0000-00-00 00:00:00","1"
"2","2","pass","Stud2","Stud2","Stud2","Stud1@yahoo.com","25","1","1","0000-00-00 00:00:00","1"
"3","3","pass","Stud3","Stud3","Stud3","Stud1@yahoo.com","25","1","1","0000-00-00 00:00:00","1"
"4","4","pass","Stud4","Stud4","Stud4","Stud1@yahoo.com","24","1","1","0000-00-00 00:00:00","1"
"5","5","pass","Stud5","Stud5","Stud5","Stud1@yahoo.com","23","1","1","0000-00-00 00:00:00","1"
"6","6","pass","Stud6","Stud6","Stud6","Stud1@yahoo.com","23","1","1","0000-00-00 00:00:00","1"
"7","7","pass","Stud7","Stud7","Stud7","Stud1@yahoo.com","1","1","1","0000-00-00 00:00:00","1"
"8","8","pass","Stud8","Stud8","Stud8","Stud1@yahoo.com","1","1","1","0000-00-00 00:00:00","1"
"9","9","pass","Stud9","Stud9","Stud9","Stud1@yahoo.com","1","1","1","0000-00-00 00:00:00","1"
"10","10","pass","Stud10","Stud10","Stud10","Stud1@yahoo.com","1","1","1","0000-00-00 00:00:00","1"
"11","11","pass","Stud11","Stud11","Stud11","Stud1@yahoo.com","1","1","1","0000-00-00 00:00:00","1"
"12","12","pass","Stud12","Stud12","Stud12","Stud1@yahoo.com","1","1","1","0000-00-00 00:00:00","1"
"13","13","pass","Stud13","Stud13","Stud13","Stud1@yahoo.com","1","1","1","0000-00-00 00:00:00","1"
"14","14","pass","Stud14","Stud14","Stud14","Stud1@yahoo.com","1","1","1","0000-00-00 00:00:00","1"
"15","15","pass","Stud15","Stud15","Stud15","Stud1@yahoo.com","1","1","1","0000-00-00 00:00:00","1"
"16","16","pass","Stud16","Stud16","Stud16","Stud1@yahoo.com","1","1","1","0000-00-00 00:00:00","1"
"17","17","pass","Stud17","Stud17","Stud17","Stud1@yahoo.com","1","1","1","0000-00-00 00:00:00","1"
"18","18","pass","Stud18","Stud18","Stud18","Stud1@yahoo.com","1","1","1","0000-00-00 00:00:00","1"
"19","19","pass","Stud19","Stud19","Stud19","Stud1@yahoo.com","1","1","1","0000-00-00 00:00:00","1"
"20","20","pass","Stud20","Stud20","Stud20","Stud1@yahoo.com","1","1","1","0000-00-00 00:00:00","1"
"21","21","pass","Stud21","Stud21","Stud21","Stud1@yahoo.com","4","1","1","0000-00-00 00:00:00","1"
"22","22","pass","Stud22","Stud22","Stud22","Stud1@yahoo.com","4","1","1","0000-00-00 00:00:00","1"
"23","23","pass","Stud23","Stud23","Stud23","Stud1@yahoo.com","4","1","1","0000-00-00 00:00:00","1"
"24","24","pass","Stud24","Stud24","Stud24","Stud1@yahoo.com","4","1","1","0000-00-00 00:00:00","1"
"25","25","pass","Stud25","Stud25","Stud25","Stud1@yahoo.com","4","1","1","0000-00-00 00:00:00","1"
"26","26","pass","Stud26","Stud26","Stud26","Stud1@yahoo.com","9","1","1","0000-00-00 00:00:00","1"
"27","27","pass","Stud27","Stud27","Stud27","Stud1@yahoo.com","9","1","1","0000-00-00 00:00:00","1"
"28","28","pass","Stud28","Stud28","Stud28","Stud1@yahoo.com","9","1","1","0000-00-00 00:00:00","1"
"29","29","pass","Stud29","Stud29","Stud29","Stud1@yahoo.com","10","1","1","0000-00-00 00:00:00","1"
"30","30","pass","Stud30","Stud30","Stud30","Stud1@yahoo.com","10","1","1","0000-00-00 00:00:00","1"
"31","31","pass","Stud31","Stud31","Stud31","Stud1@yahoo.com","13","1","1","0000-00-00 00:00:00","1"
"32","32","pass","Stud32","Stud32","Stud32","Stud1@yahoo.com","13","1","1","0000-00-00 00:00:00","1"
"33","33","pass","Stud33","Stud33","Stud33","Stud1@yahoo.com","12","1","1","0000-00-00 00:00:00","1"
"34","34","pass","Stud34","Stud34","Stud34","Stud1@yahoo.com","15","1","1","0000-00-00 00:00:00","1"
"35","35","pass","Stud35","Stud35","Stud35","Stud1@yahoo.com","15","1","1","0000-00-00 00:00:00","1"
"36","36","pass","Stud36","Stud36","Stud36","Stud1@yahoo.com","14","1","1","0000-00-00 00:00:00","1"
"37","37","pass","Stud37","Stud37","Stud37","Stud1@yahoo.com","17","1","1","0000-00-00 00:00:00","1"
"38","38","pass","Stud38","Stud38","Stud38","Stud1@yahoo.com","16","1","1","0000-00-00 00:00:00","1"
"39","39","pass","Stud39","Stud39","Stud39","Stud1@yahoo.com","18","1","1","0000-00-00 00:00:00","1"
"40","40","pass","Stud40","Stud40","Stud40","Stud1@yahoo.com","21","1","1","0000-00-00 00:00:00","1"
"41","41","pass","Stud41","Stud41","Stud41","Stud1@yahoo.com","22","1","1","0000-00-00 00:00:00","1"
"42","42","pass","Stud42","Stud42","Stud42","Stud1@yahoo.com","20","1","1","0000-00-00 00:00:00","1"
"43","43","pass","Stud43","Stud43","Stud43","Stud1@yahoo.com","30","1","1","0000-00-00 00:00:00","1"
"44","44","pass","Stud44","Stud44","Stud44","Stud1@yahoo.com","31","1","1","0000-00-00 00:00:00","1"
"45","45","pass","Stud45","Stud45","Stud45","Stud1@yahoo.com","11","1","1","0000-00-00 00:00:00","1"
"46","46","pass","Stud46","Stud46","Stud46","Stud1@yahoo.com","11","1","1","0000-00-00 00:00:00","1"
"47","47","pass","Stud47","Stud47","Stud47","Stud1@yahoo.com","11","1","1","0000-00-00 00:00:00","1"
"48","48","pass","Stud48","Stud48","Stud48","Stud1@yahoo.com","11","1","1","0000-00-00 00:00:00","1"
"49","49","pass","Stud49","Stud49","Stud49","Stud1@yahoo.com","11","1","1","0000-00-00 00:00:00","1"
